iter	Passed	Remaining
847	2951	529
848	2953	525
849	2957	521
850	2960	518
851	2962	514
852	2966	511
853	2968	507
854	2975	504
855	2978	500
856	2980	497
857	2982	493
858	2985	490
859	2989	486
860	2992	483
861	2995	479
862	2997	475
863	2999	472
864	3001	468
865	3004	464
866	3008	461
867	3010	457
868	3015	454
869	3017	450
870	3021	447
871	3023	443
872	3025	440
873	3032	437
874	3034	433
875	3037	429
876	3039	426
877	3041	422
878	3044	419
879	3047	415
880	3050	412
881	3053	408
882	3058	405
883	3061	401
884	3064	398
885	3066	394
886	3068	390
887	3078	388
888	3080	384
889	3084	381
890	3088	377
891	3091	374
892	3093	370
893	3095	367
894	3099	363
895	3102	360
896	3104	356
897	3107	352
898	3109	349
899	3116	346
900	3121	343
901	3124	339
902	3127	335
903	3129	332
904	3131	328
905	3133	325
906	3135	321
907	3137	317
908	3142	314
909	3145	311
910	3147	307
911	3150	303
912	3152	300
913	3154	296
914	3159	293
915	3163	290
916	3165	286
917	3168	282
918	3170	279
919	3175	276
920	3179	272
921	3181	269
922	3184	265
923	3187	262
924	3193	258
925	3195	255
926	3197	251
927	3200	248
928	3202	244
929	3206	241
930	3209	237
931	3211	234
932	3214	230
933	3217	227
934	3221	223
935	3223	220
936	3226	216
937	3229	213
938	3231	209
939	3234	206
940	3237	202
941	3240	199
942	3242	195
943	3248	192
944	3250	189
945	3254	185
946	3256	182
947	3259	178
948	3265	175
949	3267	171
950	3270	168
951	3272	164
952	3274	161
953	3281	158
954	3284	154
955	3286	151
956	3288	147
957	3293	144
958	3296	140
959	3298	137
960	3301	133
961	3303	130
962	3305	127
963	3310	123
964	3312	120
965	3314	116
966	3317	113
967	3319	109
968	3324	106
969	3326	102
970	3331	99
971	3333	96
972	3335	92
973	3340	89
974	3344	85
975	3347	82
976	3350	78
977	3352	75
978	3358	72
979	3360	68
980	3362	65
981	3365	61
982	3367	58
983	3372	54
984	3375	51
985	3378	47
986	3380	44
987	3382	41
988	3388	37
989	3391	34
990	3394	30
991	3396	27
992	3398	23
993	3405	20
994	3407	17
995	3409	13
996	3412	10
997	3414	6
998	3419	3
999	3422	0
